Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Europe,Kosovo,Cosmetics,Offline,C,11/1/2012,813973891,11/13/2012,1818,437.2,263.33,794829.6,478733.94,316095.66
Europe,Albania,Cosmetics,Offline,L,9/30/2016,576944720,10/9/2016,9619,437.2,263.33,4205426.8,2532971.27,1672455.53
Europe,Portugal,Baby Food,Online,L,8/3/2015,404789817,9/8/2015,5157,255.28,159.42,1316478.96,822128.94,494350.02
Europe,Bosnia and Herzegovina,Baby Food,Online,C,4/30/2014,871923768,5/30/2014,474,255.28,159.42,121002.72,75565.08,45437.64
Europe,Kosovo,Vegetables,Offline,C,12/18/2012,818976962,12/21/2012,2337,154.06,90.93,360038.22,212503.41,147534.81
Europe,Switzerland,Cosmetics,Online,C,7/20/2017,233811223,7/20/2017,8792,437.2,263.33,3843862.4,2315197.36,1528665.04
Europe,Lithuania,Office Supplies,Offline,C,12/15/2016,112330758,1/11/2017,22,651.21,524.96,14326.62,11549.12,2777.5
Europe,Montenegro,Office Supplies,Offline,H,7/2/2014,256095016,8/21/2014,3061,651.21,524.96,1993353.81,1606902.56,386451.25
Europe,France,Meat,Online,L,11/28/2015,245440852,12/17/2015,257,421.89,364.69,108425.73,93725.33,14700.4
Europe,Spain,Fruits,Online,H,10/22/2011,817006289,11/14/2011,9172,9.33,6.92,85574.76,63470.24,22104.52
Europe,Sweden,Vegetables,Online,H,9/20/2010,298228013,10/25/2010,1151,154.06,90.93,177323.06,104660.43,72662.63
Europe,Latvia,Snacks,Online,C,3/15/2017,972981679,4/9/2017,5755,152.58,97.44,878097.9,560767.2,317330.7
Europe,Norway,Personal Care,Offline,M,6/8/2012,594813811,6/17/2012,7480,81.73,56.67,611340.4,423891.6,187448.8
Europe,Estonia,Clothes,Online,H,9/8/2012,176722657,9/16/2012,5016,109.28,35.84,548148.48,179773.44,368375.04
Europe,Malta,Personal Care,Offline,M,8/16/2011,466988742,8/16/2011,1201,81.73,56.67,98157.73,68060.67,30097.06
Europe,Portugal,Cereal,Online,C,8/11/2015,615080583,9/19/2015,4868,205.7,117.11,1001347.6,570091.48,431256.12
Europe,Macedonia,Cosmetics,Online,C,12/26/2010,350977408,1/22/2011,869,437.2,263.33,379926.8,228833.77,151093.03
Europe,Greece,Personal Care,Offline,M,12/8/2011,701298367,1/6/2012,8626,81.73,56.67,705002.98,488835.42,216167.56
Europe,Italy,Personal Care,Online,C,2/25/2011,309342658,3/28/2011,222,81.73,56.67,18144.06,12580.74,5563.32
Europe,Norway,Household,Offline,M,3/20/2010,384128224,4/26/2010,933,668.27,502.54,623495.91,468869.82,154626.09
Europe,Netherlands,Household,Offline,C,1/17/2014,990774810,2/18/2014,1138,668.27,502.54,760491.26,571890.52,188600.74
Europe,Belgium,Vegetables,Offline,C,12/26/2011,394110763,12/29/2011,4988,154.06,90.93,768451.28,453558.84,314892.44
Europe,Kosovo,Fruits,Online,C,3/2/2012,899868094,3/26/2012,9821,9.33,6.92,91629.93,67961.32,23668.61
Europe,Germany,Baby Food,Offline,L,1/6/2017,361311852,2/15/2017,9061,255.28,159.42,2313092.08,1444504.62,868587.46
Europe,Hungary,Beverages,Online,L,5/20/2014,930136287,6/21/2014,6852,47.45,31.79,325127.4,217825.08,107302.32
Europe,Bulgaria,Cosmetics,Online,C,5/5/2012,179819428,6/2/2012,1420,437.2,263.33,620824,373928.6,246895.4
Europe,Bosnia and Herzegovina,Fruits,Online,H,1/5/2013,291305768,1/6/2013,2705,9.33,6.92,25237.65,18718.6,6519.05
Europe,Russia,Personal Care,Online,L,4/24/2015,602357041,5/5/2015,9689,81.73,56.67,791881.97,549075.63,242806.34
Europe,Albania,Snacks,Online,H,12/2/2010,653087270,12/7/2010,1891,152.58,97.44,288528.78,184259.04,104269.74
Europe,Slovenia,Fruits,Offline,M,12/15/2013,812637078,1/5/2014,6225,9.33,6.92,58079.25,43077,15002.25
Europe,Macedonia,Personal Care,Online,L,7/19/2014,456192958,8/18/2014,6489,81.73,56.67,530345.97,367731.63,162614.34
Europe,Albania,Meat,Offline,H,1/31/2013,986449801,3/13/2013,1272,421.89,364.69,536644.08,463885.68,72758.4
Europe,Sweden,Cosmetics,Online,L,7/3/2017,910610234,7/31/2017,8659,437.2,263.33,3785714.8,2280174.47,1505540.33
Europe,Norway,Meat,Online,M,3/3/2017,696844613,3/22/2017,661,421.89,364.69,278869.29,241060.09,37809.2
Europe,Czech Republic,Personal Care,Online,M,12/4/2010,353415429,12/8/2010,2334,81.73,56.67,190757.82,132267.78,58490.04
Europe,Andorra,Cereal,Online,H,3/19/2010,696197879,3/26/2010,9278,205.7,117.11,1908484.6,1086546.58,821938.02
Europe,Iceland,Cosmetics,Online,C,4/5/2012,907349526,5/16/2012,3743,437.2,263.33,1636439.6,985644.19,650795.41
Europe,Poland,Personal Care,Offline,C,4/5/2014,386440074,4/25/2014,5060,81.73,56.67,413553.8,286750.2,126803.6
Europe,Finland,Vegetables,Online,H,9/28/2012,800352561,10/21/2012,963,154.06,90.93,148359.78,87565.59,60794.19
Europe,Poland,Beverages,Offline,C,1/8/2014,714165675,2/2/2014,6348,47.45,31.79,301212.6,201802.92,99409.68
Europe,Croatia,Beverages,Offline,L,2/22/2013,189924275,3/21/2013,1668,47.45,31.79,79146.6,53025.72,26120.88
Europe,Poland,Meat,Online,H,4/30/2013,546081721,5/22/2013,6571,421.89,364.69,2772239.19,2396377.99,375861.2
Europe,Switzerland,Baby Food,Online,C,6/26/2010,979073941,7/18/2010,8591,255.28,159.42,2193110.48,1369577.22,823533.26
Europe,Bosnia and Herzegovina,Personal Care,Offline,L,2/7/2010,396718728,3/18/2010,6742,81.73,56.67,551023.66,382069.14,168954.52
Europe,Hungary,Beverages,Offline,M,12/3/2010,948075759,1/4/2011,5540,47.45,31.79,262873,176116.6,86756.4
Europe,Sweden,Cereal,Offline,L,10/19/2012,737736070,11/3/2012,1352,205.7,117.11,278106.4,158332.72,119773.68
Europe,Slovakia,Household,Offline,L,2/20/2010,585362994,4/11/2010,773,668.27,502.54,516572.71,388463.42,128109.29
Europe,Czech Republic,Baby Food,Offline,H,7/18/2015,850872075,8/1/2015,810,255.28,159.42,206776.8,129130.2,77646.6
Europe,Bosnia and Herzegovina,Office Supplies,Offline,C,11/8/2012,575583016,11/24/2012,6660,651.21,524.96,4337058.6,3496233.6,840825
Europe,Kosovo,Meat,Offline,H,2/1/2011,515773189,2/17/2011,7603,421.89,364.69,3207629.67,2772738.07,434891.6
Europe,Monaco,Personal Care,Online,H,3/29/2016,351247346,5/8/2016,750,81.73,56.67,61297.5,42502.5,18795
Europe,Portugal,Beverages,Offline,H,1/20/2016,554721438,1/28/2016,3256,47.45,31.79,154497.2,103508.24,50988.96
Europe,Germany,Cereal,Offline,C,2/19/2010,398333632,3/2/2010,4629,205.7,117.11,952185.3,542102.19,410083.11
Europe,Vatican City,Beverages,Online,C,12/27/2015,370484149,1/19/2016,3348,47.45,31.79,158862.6,106432.92,52429.68
Europe,Denmark,Baby Food,Offline,H,9/29/2013,306839406,10/1/2013,9454,255.28,159.42,2413417.12,1507156.68,906260.44
Europe,Estonia,Beverages,Offline,C,2/9/2017,653548610,2/21/2017,8412,47.45,31.79,399149.4,267417.48,131731.92
Europe,Belarus,Vegetables,Online,L,12/31/2012,413078916,1/11/2013,8086,154.06,90.93,1245729.16,735259.98,510469.18
Europe,Italy,Snacks,Online,M,12/14/2010,307721745,1/1/2011,558,152.58,97.44,85139.64,54371.52,30768.12
Europe,Kosovo,Office Supplies,Online,C,11/9/2011,374663245,11/26/2011,35,651.21,524.96,22792.35,18373.6,4418.75
Europe,Ireland,Vegetables,Offline,C,11/16/2010,901670968,12/11/2010,3331,154.06,90.93,513173.86,302887.83,210286.03
Europe,Montenegro,Cosmetics,Offline,L,8/19/2012,353320157,8/22/2012,4141,437.2,263.33,1810445.2,1090449.53,719995.67
Europe,Norway,Cereal,Offline,L,6/20/2013,645701968,7/21/2013,6416,205.7,117.11,1319771.2,751377.76,568393.44
Europe,Poland,Office Supplies,Online,H,9/19/2013,148894631,9/25/2013,85,651.21,524.96,55352.85,44621.6,10731.25
Europe,Sweden,Baby Food,Online,L,4/3/2013,443551385,5/9/2013,5566,255.28,159.42,1420888.48,887331.72,533556.76
Europe,Vatican City,Clothes,Offline,H,3/11/2014,508014523,3/20/2014,1642,109.28,35.84,179437.76,58849.28,120588.48
Europe,Lithuania,Office Supplies,Online,C,7/8/2012,987767302,8/1/2012,1150,651.21,524.96,748891.5,603704,145187.5
Europe,Croatia,Baby Food,Offline,H,9/19/2012,103832662,10/20/2012,5247,255.28,159.42,1339454.16,836476.74,502977.42
Europe,Malta,Personal Care,Online,H,2/19/2014,445708739,2/27/2014,3975,81.73,56.67,324876.75,225263.25,99613.5
Europe,Macedonia,Beverages,Offline,M,7/24/2012,354655683,7/31/2012,9353,47.45,31.79,443799.85,297331.87,146467.98
Europe,Belarus,Office Supplies,Offline,C,6/30/2017,624398362,7/24/2017,2206,651.21,524.96,1436569.26,1158061.76,278507.5
Europe,Liechtenstein,Beverages,Online,C,9/5/2016,264163959,9/22/2016,840,47.45,31.79,39858,26703.6,13154.4
Europe,Russia,Office Supplies,Offline,H,10/16/2011,520915305,11/7/2011,9270,651.21,524.96,6036716.7,4866379.2,1170337.5
Europe,Armenia,Cereal,Online,H,2/5/2013,424181544,3/4/2013,3600,205.7,117.11,740520,421596,318924
Europe,United Kingdom,Office Supplies,Online,H,7/3/2015,560762631,7/16/2015,979,651.21,524.96,637534.59,513935.84,123598.75
Europe,Moldova ,Office Supplies,Offline,L,4/4/2015,458816373,4/16/2015,2815,651.21,524.96,1833156.15,1477762.4,355393.75
Europe,Netherlands,Household,Offline,L,8/18/2013,142987763,9/1/2013,2112,668.27,502.54,1411386.24,1061364.48,350021.76
Europe,Andorra,Snacks,Offline,C,1/23/2010,480904042,2/5/2010,9048,152.58,97.44,1380543.84,881637.12,498906.72
Europe,Armenia,Vegetables,Online,M,12/7/2016,571323239,1/1/2017,6097,154.06,90.93,939303.82,554400.21,384903.61
Europe,Italy,Snacks,Online,H,9/16/2012,281100928,11/3/2012,2866,152.58,97.44,437294.28,279263.04,158031.24
Europe,Croatia,Household,Online,L,4/26/2013,659196269,6/1/2013,9680,668.27,502.54,6468853.6,4864587.2,1604266.4
Europe,Bulgaria,Personal Care,Offline,H,10/24/2012,595496594,11/4/2012,9530,81.73,56.67,778886.9,540065.1,238821.8
Europe,Ireland,Personal Care,Offline,H,5/30/2010,354931628,6/8/2010,1011,81.73,56.67,82629.03,57293.37,25335.66
Europe,Spain,Meat,Offline,C,11/29/2011,436969029,12/17/2011,7701,421.89,364.69,3248974.89,2808477.69,440497.2
Europe,Moldova ,Vegetables,Online,L,3/28/2016,810752236,5/4/2016,8458,154.06,90.93,1303039.48,769085.94,533953.54
Europe,Italy,Office Supplies,Offline,C,7/8/2011,886620128,7/25/2011,9453,651.21,524.96,6155888.13,4962446.88,1193441.25
Europe,Finland,Cereal,Offline,M,4/10/2010,889093768,5/20/2010,1458,205.7,117.11,299910.6,170746.38,129164.22
Europe,Poland,Cereal,Online,C,8/6/2011,454550588,9/6/2011,475,205.7,117.11,97707.5,55627.25,42080.25
Europe,Austria,Office Supplies,Online,L,2/18/2017,926064479,3/10/2017,1913,651.21,524.96,1245764.73,1004248.48,241516.25
Europe,Andorra,Fruits,Offline,C,6/29/2016,413245427,7/2/2016,7360,9.33,6.92,68668.8,50931.2,17737.6
Europe,Finland,Beverages,Online,H,9/18/2011,884147775,10/19/2011,7829,47.45,31.79,371486.05,248883.91,122602.14
Europe,Andorra,Cosmetics,Online,C,6/30/2012,328322827,7/19/2012,6876,437.2,263.33,3006187.2,1810657.08,1195530.12
Europe,Germany,Snacks,Online,H,3/22/2014,158673751,5/10/2014,3944,152.58,97.44,601775.52,384303.36,217472.16
Europe,Italy,Snacks,Offline,L,1/7/2014,464911210,2/10/2014,6413,152.58,97.44,978495.54,624882.72,353612.82
Europe,Serbia,Beverages,Online,C,10/12/2010,395562589,12/1/2010,4615,47.45,31.79,218981.75,146710.85,72270.9
Europe,Italy,Baby Food,Offline,H,3/1/2012,459372985,3/22/2012,7529,255.28,159.42,1922003.12,1200273.18,721729.94
Europe,Armenia,Meat,Online,L,6/25/2012,693210542,8/13/2012,5259,421.89,364.69,2218719.51,1917904.71,300814.8
Europe,Sweden,Fruits,Offline,L,8/22/2011,153974950,9/20/2011,3464,9.33,6.92,32319.12,23970.88,8348.24
Europe,Romania,Snacks,Online,H,8/18/2014,747327220,9/15/2014,9587,152.58,97.44,1462784.46,934157.28,528627.18
Europe,Bosnia and Herzegovina,Clothes,Online,M,10/10/2011,166810500,11/21/2011,1789,109.28,35.84,195501.92,64117.76,131384.16
Europe,Lithuania,Personal Care,Offline,M,3/31/2013,386009633,4/5/2013,7683,81.73,56.67,627931.59,435395.61,192535.98
Europe,Germany,Personal Care,Offline,H,2/8/2016,993368613,2/16/2016,8702,81.73,56.67,711214.46,493142.34,218072.12
Europe,Germany,Baby Food,Online,L,12/9/2014,405986297,1/2/2015,9222,255.28,159.42,2354192.16,1470171.24,884020.92
Europe,Bulgaria,Beverages,Online,H,2/4/2016,476794040,3/7/2016,2807,47.45,31.79,133192.15,89234.53,43957.62
Europe,Serbia,Meat,Offline,C,12/21/2011,380610454,12/29/2011,9946,421.89,364.69,4196117.94,3627206.74,568911.2
Europe,France,Vegetables,Offline,L,2/1/2012,455040681,2/2/2012,5504,154.06,90.93,847946.24,500478.72,347467.52
Europe,Iceland,Clothes,Online,M,9/10/2013,917792117,10/7/2013,3938,109.28,35.84,430344.64,141137.92,289206.72
Europe,Albania,Cosmetics,Offline,L,6/27/2011,728793370,8/12/2011,5009,437.2,263.33,2189934.8,1319019.97,870914.83
Europe,Austria,Fruits,Offline,M,4/20/2011,185960614,5/28/2011,8733,9.33,6.92,81478.89,60432.36,21046.53
Europe,Finland,Office Supplies,Offline,H,11/29/2011,445273578,1/9/2012,5201,651.21,524.96,3386943.21,2730316.96,656626.25
Europe,Georgia,Baby Food,Online,L,1/26/2014,359197413,3/8/2014,3352,255.28,159.42,855698.56,534375.84,321322.72
Europe,Romania,Personal Care,Offline,L,5/14/2013,853036296,6/1/2013,1251,81.73,56.67,102244.23,70894.17,31350.06
Europe,Switzerland,Fruits,Offline,M,3/21/2012,567412793,3/27/2012,8910,9.33,6.92,83130.3,61657.2,21473.1
Europe,Ireland,Cosmetics,Offline,H,8/27/2016,139201343,9/6/2016,1625,437.2,263.33,710450,427911.25,282538.75
Europe,Ukraine,Cosmetics,Online,C,6/9/2014,183910119,6/11/2014,1946,437.2,263.33,850791.2,512440.18,338351.02
Europe,Luxembourg,Clothes,Online,H,11/7/2013,922363460,11/23/2013,6700,109.28,35.84,732176,240128,492048
Europe,Austria,Beverages,Offline,C,4/2/2012,192922341,5/1/2012,8863,47.45,31.79,420549.35,281754.77,138794.58
Europe,Monaco,Cereal,Online,L,6/3/2017,792178905,7/21/2017,2197,205.7,117.11,451922.9,257290.67,194632.23
Europe,Serbia,Beverages,Online,M,12/20/2011,424297845,1/8/2012,8016,47.45,31.79,380359.2,254828.64,125530.56
Europe,Ireland,Baby Food,Online,H,5/23/2017,243684327,5/30/2017,462,255.28,159.42,117939.36,73652.04,44287.32
Europe,San Marino,Clothes,Offline,M,5/7/2012,152505099,5/19/2012,8503,109.28,35.84,929207.84,304747.52,624460.32
Europe,Georgia,Baby Food,Online,L,6/24/2015,203036630,7/28/2015,1905,255.28,159.42,486308.4,303695.1,182613.3
Europe,Ukraine,Snacks,Offline,C,1/25/2016,611791121,3/3/2016,1443,152.58,97.44,220172.94,140605.92,79567.02
Europe,San Marino,Cereal,Offline,C,7/22/2012,554554927,8/6/2012,3981,205.7,117.11,818891.7,466214.91,352676.79
Europe,Bosnia and Herzegovina,Office Supplies,Offline,H,7/11/2012,434275662,8/13/2012,674,651.21,524.96,438915.54,353823.04,85092.5
Europe,Germany,Personal Care,Offline,H,7/27/2014,835093390,7/29/2014,1547,81.73,56.67,126436.31,87668.49,38767.82
Europe,Croatia,Beverages,Online,M,2/6/2017,976323497,2/10/2017,4674,47.45,31.79,221781.3,148586.46,73194.84
Europe,Lithuania,Beverages,Online,H,1/9/2014,732703387,1/28/2014,2069,47.45,31.79,98174.05,65773.51,32400.54
Europe,Slovenia,Household,Online,C,9/10/2014,873432672,9/17/2014,6992,668.27,502.54,4672543.84,3513759.68,1158784.16
Europe,Serbia,Clothes,Online,C,6/25/2011,523580348,8/4/2011,7915,109.28,35.84,864951.2,283673.6,581277.6
Europe,Greece,Personal Care,Online,M,4/16/2017,800045716,5/14/2017,161,81.73,56.67,13158.53,9123.87,4034.66
Europe,Malta,Vegetables,Online,M,5/10/2016,743769109,5/11/2016,6662,154.06,90.93,1026347.72,605775.66,420572.06
Europe,San Marino,Snacks,Offline,L,1/9/2013,201294267,2/9/2013,6302,152.58,97.44,961559.16,614066.88,347492.28
Europe,Portugal,Meat,Online,L,2/11/2013,668280589,3/28/2013,7932,421.89,364.69,3346431.48,2892721.08,453710.4
Europe,Albania,Household,Online,C,7/14/2017,380379998,7/16/2017,1749,668.27,502.54,1168804.23,878942.46,289861.77
Europe,Netherlands,Clothes,Online,H,1/16/2016,767490565,2/23/2016,6368,109.28,35.84,695895.04,228229.12,467665.92
Europe,Iceland,Snacks,Offline,L,10/30/2012,720931279,11/18/2012,8441,152.58,97.44,1287927.78,822491.04,465436.74
Europe,United Kingdom,Snacks,Online,L,7/13/2013,138025033,8/3/2013,3529,152.58,97.44,538454.82,343865.76,194589.06
Europe,Andorra,Meat,Offline,H,8/16/2016,552931869,9/9/2016,3682,421.89,364.69,1553398.98,1342788.58,210610.4
Europe,Liechtenstein,Fruits,Online,L,2/8/2014,142375361,2/19/2014,888,9.33,6.92,8285.04,6144.96,2140.08
Europe,Belgium,Cosmetics,Offline,C,6/27/2014,916089236,7/28/2014,17,437.2,263.33,7432.4,4476.61,2955.79
Europe,Luxembourg,Fruits,Offline,L,12/6/2011,242265546,1/7/2012,614,9.33,6.92,5728.62,4248.88,1479.74
Europe,Malta,Cosmetics,Online,M,1/12/2015,265914475,2/21/2015,8857,437.2,263.33,3872280.4,2332313.81,1539966.59
Europe,Slovakia,Snacks,Online,L,7/26/2015,637040793,8/4/2015,3382,152.58,97.44,516025.56,329542.08,186483.48
Europe,Andorra,Personal Care,Offline,L,12/12/2014,754541289,12/19/2014,4390,81.73,56.67,358794.7,248781.3,110013.4
Europe,Serbia,Vegetables,Offline,L,3/16/2015,697638976,3/26/2015,5731,154.06,90.93,882917.86,521119.83,361798.03
Europe,Czech Republic,Baby Food,Online,C,3/10/2016,467312324,4/8/2016,6956,255.28,159.42,1775727.68,1108925.52,666802.16
Europe,Slovenia,Clothes,Online,L,5/26/2012,622441852,5/28/2012,3231,109.28,35.84,353083.68,115799.04,237284.64
Europe,Bulgaria,Meat,Online,C,7/27/2016,349212729,9/11/2016,8662,421.89,364.69,3654411.18,3158944.78,495466.4
Europe,Hungary,Cosmetics,Online,H,10/6/2010,332353007,11/22/2010,9495,437.2,263.33,4151214,2500318.35,1650895.65
Europe,Slovakia,Meat,Offline,H,8/8/2013,876856458,8/29/2013,166,421.89,364.69,70033.74,60538.54,9495.2
Europe,Bulgaria,Beverages,Offline,C,10/19/2013,313178002,12/6/2013,5185,47.45,31.79,246028.25,164831.15,81197.1
Europe,Kosovo,Personal Care,Online,L,2/17/2016,461445796,3/22/2016,920,81.73,56.67,75191.6,52136.4,23055.2
Europe,Spain,Cosmetics,Offline,C,1/3/2017,391026866,1/8/2017,2394,437.2,263.33,1046656.8,630412.02,416244.78
Europe,Germany,Vegetables,Offline,C,8/7/2015,204418504,9/3/2015,833,154.06,90.93,128331.98,75744.69,52587.29
Europe,Romania,Meat,Offline,L,12/22/2012,524972951,1/17/2013,17,421.89,364.69,7172.13,6199.73,972.4
Europe,Latvia,Beverages,Online,C,11/27/2013,469197165,12/11/2013,4723,47.45,31.79,224106.35,150144.17,73962.18
Europe,Sweden,Household,Offline,H,6/23/2010,688650786,8/7/2010,5926,668.27,502.54,3960168.02,2978052.04,982115.98
Europe,Macedonia,Office Supplies,Online,M,6/17/2016,823236739,8/1/2016,2900,651.21,524.96,1888509,1522384,366125
Europe,Armenia,Fruits,Offline,L,3/17/2015,439725911,4/7/2015,3524,9.33,6.92,32878.92,24386.08,8492.84
Europe,Cyprus,Snacks,Online,H,10/1/2012,255047452,10/30/2012,3064,152.58,97.44,467505.12,298556.16,168948.96
Europe,Malta,Meat,Offline,C,6/26/2014,662623488,7/11/2014,3870,421.89,364.69,1632714.3,1411350.3,221364
Europe,San Marino,Vegetables,Offline,M,1/22/2016,560389268,2/22/2016,492,154.06,90.93,75797.52,44737.56,31059.96
Europe,France,Office Supplies,Offline,C,7/12/2011,867138278,8/4/2011,4341,651.21,524.96,2826902.61,2278851.36,548051.25
Europe,Montenegro,Household,Online,H,12/25/2014,525321424,12/31/2014,3138,668.27,502.54,2097031.26,1576970.52,520060.74
Europe,Cyprus,Clothes,Online,H,6/10/2014,497554337,7/28/2014,6240,109.28,35.84,681907.2,223641.6,458265.6
Europe,Vatican City,Personal Care,Offline,M,4/15/2016,626322257,5/5/2016,1529,81.73,56.67,124965.17,86648.43,38316.74
Europe,Netherlands,Baby Food,Offline,C,1/21/2011,611766231,2/26/2011,4077,255.28,159.42,1040776.56,649955.34,390821.22
Europe,Montenegro,Baby Food,Offline,H,3/3/2013,630931794,4/1/2013,5593,255.28,159.42,1427781.04,891636.06,536144.98
Europe,San Marino,Office Supplies,Offline,L,3/4/2017,239386355,4/20/2017,8597,651.21,524.96,5598452.37,4513081.12,1085371.25
Europe,Germany,Household,Offline,M,8/21/2016,874172532,10/2/2016,5933,668.27,502.54,3964845.91,2981569.82,983276.09
Europe,Iceland,Personal Care,Offline,C,9/19/2010,570703542,11/3/2010,2715,81.73,56.67,221896.95,153859.05,68037.9
